"Tour",,"mo","di","mi","do","fr","sa"
"SNmo","Stuttgart Nord mo",,,,,,"d"
"SSmo","Stuttgart Süd mo",,,,,,"e"
"WN","Winnenden","w",,,,,
"ES","Esslingen","nicht mehr",,,,,
"GP","Goppingen",,,,"g",,
"RT","Reutlingen",,"r",,,,
"HER","Herrenberg","h",,,,,
"NÜR","Nürtingen",,,,,"n",
"GM","Schwäbisch Gmünd",,,"g",,,
"SNfr","Stuttgart Nord fr",,"s",,,,
"SSfr","Stuttgart Süd fr",,,,"s",,
"VAI","Vaihingen an der Enz","nicht mehr",,,,,
"RV","Ravensburg",,,,,"r",
"FRmo","Freiburg mo","f",,,,,
"FRfr","Freiburg fr",,,,,"f",
"FRdi","Freiburg di",,"f",,,,
"FRmi","Freiburg mi",,,"f",,,
"FRdo","Freiburg do",,,,"f",,
